Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2007.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,2031
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,48298
2007.03,Corporate business enterprises,141,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,209773
2007.03,Corporate business enterprises,141,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,162744
2007.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,-15763
2007.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,567352
2007.03,Central bank,211,Closing balance total assets,LE00000,A000000,20719
2007.03,Central bank,211,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,20663
2007.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,446
2007.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,15368
2007.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,4313
2007.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,102
2007.03,Central bank,211,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2007.03,Central bank,211,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,395
2007.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,39
2007.03,Central bank,211,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,20719
2007.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,13531
2007.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,5182
2007.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1609
2007.03,Central bank,211,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Central bank,211,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
2007.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,397
2007.03,Central bank,211,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,42
2007.03,Central bank,211,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2007.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
2007.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,20719
2007.03,Registered banks,221,Closing balance total assets,LE00000,A000000,300264
2007.03,Registered banks,221,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,293582
2007.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11993
2007.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,16493
2007.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,253893
2007.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,378
2007.03,Registered banks,221,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Registered banks,221,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,8104
2007.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,2721
2007.03,Registered banks,221,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,318750
2007.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,161122
2007.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,86031
2007.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,29196
2007.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,30897
2007.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Registered banks,221,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,8845
2007.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2659
2007.03,Registered banks,221,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,2082
2007.03,Registered banks,221,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,4600
2007.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-18486
2007.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,300264
2007.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,16502
2007.03,Other depository institutions,222,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,16308
2007.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,..
2007.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,10
2007.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,16298
2007.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2007.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other depository institutions,222,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
2007.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,16502
2007.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14569
2007.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1933
2007.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Other depository institutions,222,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,181
2007.03,Other depository institutions,222,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,13
2007.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
2007.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,16502
2007.03,Investment funds,231,Closing balance total assets,LE00000,A000000,40185
2007.03,Investment funds,231,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,40041
2007.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9146
2007.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,12842
2007.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
2007.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17740
2007.03,Investment funds,231,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Investment funds,231,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2007.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,313
2007.03,Investment funds,231,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,40185
2007.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2007.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,40185
2007.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Investment funds,231,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2007.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Investment funds,231,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,144
2007.03,Investment funds,231,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
2007.03,Investment funds,231,Closing balance net worth,LE00000,B900000,0
2007.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,40185
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,83629
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,82880
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1314
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,42957
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,33315
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1784
2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,99
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3411
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,84279
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,55445
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,19291
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8020
2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,130
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1393
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,735
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000,-650
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000,83629
2007.03,Insurance corporations,251,Closing balance total assets,LE00000,A000000,21314
2007.03,Insurance corporations,251,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,19849
2007.03,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2007.03,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2007.03,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400,C
2007.03,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,6950
2007.03,Insurance corporations,251,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,452
2007.03,Insurance corporations,251,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,159
2007.03,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3566
2007.03,Insurance corporations,251,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,22237
2007.03,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2007.03,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2007.03,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8566
2007.03,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,12816
2007.03,Insurance corporations,251,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,23
2007.03,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,553
2007.03,Insurance corporations,251,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,1016
2007.03,Insurance corporations,251,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,449
2007.03,Insurance corporations,251,Closing balance net worth,LE00000,B900000,-923
2007.03,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000,21314
2007.03,Pension funds,261,Closing balance total assets,LE00000,A000000,31919
2007.03,Pension funds,261,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,31813
2007.03,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200,862
2007.03,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300,1829
2007.03,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400,0
2007.03,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,19832
2007.03,Pension funds,261,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,9290
2007.03,Pension funds,261,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2007.03,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,0
2007.03,Pension funds,261,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,31919
2007.03,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2007.03,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2007.03,Pension funds,261,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,31919
2007.03,Pension funds,261,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2007.03,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Pension funds,261,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,67
2007.03,Pension funds,261,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,39
2007.03,Pension funds,261,Closing balance net worth,LE00000,B900000,0
2007.03,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000,31919
2007.03,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000,5346
2007.03,Financial auxiliaries,270,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,4246
2007.03,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1826
2007.03,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Financial auxiliaries,270,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,241
2007.03,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,501
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,5346
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,3340
2007.03,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,250
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,364
2007.03,Financial auxiliaries,270,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,752
2007.03,Financial auxiliaries,270,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,349
2007.03,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000,0
2007.03,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000,5346
2007.03,Captive financial institutions,281,Closing balance total assets,LE00000,A000000,278681
2007.03,Captive financial institutions,281,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,274494
2007.03,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11091
2007.03,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300,20858
2007.03,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400,61959
2007.03,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,151460
2007.03,Captive financial institutions,281,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Captive financial institutions,281,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,14
2007.03,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,29112
2007.03,Captive financial institutions,281,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,290282
2007.03,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300,17876
2007.03,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400,73827
2007.03,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,167208
2007.03,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,550
2007.03,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,30821
2007.03,Captive financial institutions,281,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,660
2007.03,Captive financial institutions,281,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,3526
2007.03,Captive financial institutions,281,Closing balance net worth,LE00000,B900000,-11601
2007.03,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000,278681
2007.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000,146271
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,82958
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,45
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200,6542
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300,8374
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400,16477
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,40474
2007.03,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1071
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,9976
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,52394
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,299
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300,27640
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400,4307
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2007.03,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,9302
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,477
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,10369
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,52561
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,10752
2007.03,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000,93877
2007.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000,146271
2007.03,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000,16426
2007.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,16419
2007.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1393
